filename,label
D_0000000001,spoof
D_0000000022,spoof
D_0000000043,spoof
D_0000000064,spoof
D_0000000085,spoof
D_0000000106,spoof
D_0000000127,spoof
D_0000000148,spoof
D_0000000169,spoof
D_0000000190,bonafide
D_0000000211,spoof
D_0000000232,spoof
D_0000000253,bonafide
D_0000000274,spoof
D_0000000295,spoof
D_0000000316,spoof
D_0000000337,spoof
D_0000000358,spoof
D_0000000379,spoof
D_0000000400,spoof
D_0000000421,spoof
D_0000000442,spoof
D_0000000463,spoof
D_0000000484,spoof
D_0000000505,spoof
D_0000000526,spoof
D_0000000547,spoof
D_0000000568,spoof
D_0000000589,spoof
D_0000000610,spoof
D_0000000631,bonafide
D_0000000652,spoof
D_0000000673,spoof
D_0000000694,spoof
D_0000000715,bonafide
D_0000000736,bonafide
D_0000000757,spoof
D_0000000778,spoof
D_0000000799,spoof
D_0000000820,spoof
D_0000000841,spoof
D_0000000862,bonafide
D_0000000883,spoof
D_0000000904,bonafide
D_0000000925,spoof
D_0000000946,spoof
D_0000000967,spoof
D_0000000988,spoof
D_0000001009,spoof
D_0000001030,spoof
D_0000001051,spoof
D_0000001072,spoof
D_0000001093,bonafide
D_0000001114,bonafide
D_0000001135,bonafide
D_0000001156,spoof
D_0000001177,spoof
D_0000001198,spoof
D_0000001219,spoof
D_0000001240,spoof
D_0000001261,spoof
D_0000001282,spoof
D_0000001303,spoof
D_0000001324,bonafide
D_0000001345,spoof
D_0000001366,spoof
D_0000001387,spoof
D_0000001408,spoof
D_0000001429,bonafide
D_0000001450,spoof
D_0000001471,spoof
D_0000001492,bonafide
D_0000001513,spoof
D_0000001534,spoof
D_0000001555,bonafide
D_0000001576,spoof
D_0000001597,spoof
D_0000001618,spoof
D_0000001639,spoof
D_0000001660,spoof
D_0000001681,spoof
D_0000001702,spoof
D_0000001723,spoof
D_0000001744,spoof
D_0000001765,spoof
D_0000001786,bonafide
D_0000001807,spoof
D_0000001828,bonafide
D_0000001849,spoof
D_0000001870,bonafide
D_0000001891,spoof
D_0000001912,spoof
D_0000001933,spoof
D_0000001954,spoof
D_0000001975,bonafide
D_0000001996,spoof
D_0000002017,spoof
D_0000002038,spoof
D_0000002059,bonafide
D_0000002080,bonafide
D_0000002101,spoof
D_0000002122,spoof
D_0000002143,spoof
D_0000002164,spoof
D_0000002185,spoof
D_0000002206,spoof
D_0000002227,spoof
D_0000002248,spoof
D_0000002269,spoof
D_0000002290,bonafide
D_0000002311,spoof
D_0000002332,spoof
D_0000002353,bonafide
D_0000002374,bonafide
D_0000002395,spoof
D_0000002416,bonafide
D_0000002437,spoof
D_0000002458,bonafide
D_0000002479,spoof
D_0000002500,bonafide
D_0000002521,bonafide
D_0000002542,spoof
D_0000002563,spoof
D_0000002584,spoof
D_0000002605,spoof
D_0000002626,spoof
D_0000002647,spoof
D_0000002668,bonafide
D_0000002689,bonafide
D_0000002710,spoof
D_0000002731,bonafide
D_0000002752,spoof
D_0000002773,spoof
D_0000002794,spoof
D_0000002815,spoof
D_0000002836,bonafide
D_0000002857,bonafide
D_0000002878,spoof
D_0000002899,bonafide
D_0000002920,spoof
D_0000002941,spoof
D_0000002962,bonafide
D_0000002983,spoof
D_0000003004,bonafide
D_0000003025,spoof
D_0000003046,spoof
D_0000003067,spoof
D_0000003088,spoof
D_0000003109,spoof
D_0000003130,bonafide
D_0000003151,spoof
D_0000003172,bonafide
D_0000003193,spoof
D_0000003214,spoof
D_0000003235,spoof
D_0000003256,spoof
D_0000003277,spoof
D_0000003298,spoof
D_0000003319,spoof
D_0000003340,bonafide
D_0000003361,spoof
D_0000003382,spoof
D_0000003403,spoof
D_0000003424,spoof
D_0000003445,spoof
D_0000003466,spoof
D_0000003487,spoof
D_0000003508,bonafide
D_0000003529,bonafide
D_0000003550,spoof
D_0000003571,spoof
D_0000003592,spoof
D_0000003613,spoof
D_0000003634,spoof
D_0000003655,spoof
D_0000003676,bonafide
D_0000003697,spoof
D_0000003718,bonafide
D_0000003739,spoof
D_0000003760,bonafide
D_0000003781,spoof
D_0000003802,spoof
D_0000003823,spoof
D_0000003844,bonafide
D_0000003865,spoof
D_0000003886,spoof
D_0000003907,spoof
D_0000003928,spoof
D_0000003949,bonafide
D_0000003970,bonafide
D_0000003991,spoof
D_0000004012,spoof
D_0000004033,spoof
D_0000004054,spoof
D_0000004075,spoof
D_0000004096,spoof
D_0000004117,spoof
D_0000004138,bonafide
D_0000004159,spoof
D_0000004180,spoof
D_0000004201,spoof
D_0000004222,spoof
D_0000004243,bonafide
D_0000004264,bonafide
D_0000004285,spoof
D_0000004306,spoof
D_0000004327,spoof
D_0000004348,bonafide
D_0000004369,spoof
D_0000004390,bonafide
D_0000004411,spoof
D_0000004432,spoof
D_0000004453,spoof
D_0000004474,bonafide
D_0000004495,spoof
D_0000004516,spoof
D_0000004537,spoof
D_0000004558,bonafide
D_0000004579,spoof
D_0000004600,spoof
D_0000004621,bonafide
D_0000004642,spoof
D_0000004663,bonafide
D_0000004684,spoof
D_0000004705,spoof
D_0000004726,spoof
D_0000004747,bonafide
D_0000004768,spoof
D_0000004789,spoof
D_0000004810,spoof
D_0000004831,spoof
D_0000004852,spoof
D_0000004873,spoof
D_0000004894,spoof
D_0000004915,spoof
D_0000004936,spoof
D_0000004957,spoof
D_0000004978,spoof
D_0000004999,bonafide
D_0000005020,bonafide
D_0000005041,spoof
D_0000005062,spoof
D_0000005083,spoof
D_0000005104,bonafide
D_0000005125,spoof
D_0000005146,spoof
D_0000005167,spoof
D_0000005188,spoof
D_0000005209,bonafide
D_0000005230,bonafide
D_0000005251,spoof
D_0000005272,spoof
D_0000005293,bonafide
D_0000005314,spoof
D_0000005335,spoof
D_0000005356,bonafide
D_0000005377,bonafide
D_0000005398,spoof
D_0000005419,spoof
D_0000005440,bonafide
D_0000005461,bonafide
D_0000005482,spoof
D_0000005503,spoof
D_0000005524,spoof
D_0000005545,spoof
D_0000005566,spoof
D_0000005587,spoof
D_0000005608,spoof
D_0000005629,spoof
D_0000005650,spoof
D_0000005671,spoof
D_0000005692,spoof
D_0000005713,spoof
D_0000005734,spoof
D_0000005755,spoof
D_0000005776,spoof
D_0000005797,spoof
D_0000005818,spoof
D_0000005839,spoof
D_0000005860,spoof
D_0000005881,spoof
D_0000005902,spoof
D_0000005923,spoof
D_0000005944,bonafide
